yyyy-mm-dd hh:mm:ss.mmmmmm,x [g],y [g],z [g]
2021-09-14 06:08:19.539754, 0.012, 0.080, 0.993
2021-09-14 06:08:19.639965, 0.007, 0.080, 0.997
2021-09-14 06:08:19.740215, 0.005, 0.080, 0.998
2021-09-14 06:08:19.840393, 0.008, 0.081, 1.000
2021-09-14 06:08:19.940564, 0.006, 0.079, 0.998
2021-09-14 06:08:20.040726, 0.009, 0.079, 0.997
2021-09-14 06:08:20.140871, 0.007, 0.076, 0.998
2021-09-14 06:08:20.241025, 0.010, 0.066, 0.987
2021-09-14 06:08:20.341176, 0.004, 0.082, 0.988
2021-09-14 06:08:20.441313, 0.001, 0.077, 0.998
2021-09-14 06:08:20.541500, 0.008, 0.083, 0.988
2021-09-14 06:08:20.641723, 0.006, 0.076, 0.996
2021-09-14 06:08:20.741944, 0.003, 0.079, 0.999
2021-09-14 06:08:20.842169, 0.009, 0.078, 0.998
2021-09-14 06:08:20.942353, 0.007, 0.081, 0.997
2021-09-14 06:08:21.042522, 0.006, 0.078, 0.997
2021-09-14 06:08:21.142727, 0.005, 0.078, 0.997
2021-09-14 06:08:21.242962, 0.005, 0.079, 1.000
2021-09-14 06:08:21.343171, 0.005, 0.078, 1.003
2021-09-14 06:08:21.443388, 0.006, 0.082, 0.985
2021-09-14 06:08:21.543630,-0.001, 0.077, 1.005
2021-09-14 06:08:21.643840, 0.004, 0.080, 0.990
2021-09-14 06:08:21.744049, 0.006, 0.063, 0.988
2021-09-14 06:08:21.844326, 0.011, 0.077, 0.996
2021-09-14 06:08:21.944551, 0.007, 0.093, 0.997
2021-09-14 06:08:22.044775, 0.007, 0.079, 0.997
2021-09-14 06:08:22.145004, 0.008, 0.082, 0.990
2021-09-14 06:08:22.245210, 0.006, 0.062, 1.002
2021-09-14 06:08:22.345409, 0.008, 0.080, 1.006
2021-09-14 06:08:22.445623, 0.005, 0.084, 0.996
2021-09-14 06:08:22.545808, 0.008, 0.082, 1.002
2021-09-14 06:08:22.645964, 0.007, 0.080, 1.004
2021-09-14 06:08:22.746117, 0.005, 0.083, 1.000
2021-09-14 06:08:22.846258, 0.001, 0.084, 1.002
2021-09-14 06:08:22.946412, 0.007, 0.081, 1.003
2021-09-14 06:08:23.046592, 0.007, 0.078, 0.995
2021-09-14 06:08:23.146777, 0.007, 0.080, 0.997
2021-09-14 06:08:23.246966, 0.004, 0.073, 0.996
2021-09-14 06:08:23.347167, 0.003, 0.080, 0.999
2021-09-14 06:08:23.447381, 0.006, 0.082, 1.015
2021-09-14 06:08:23.547600, 0.006, 0.080, 0.998
2021-09-14 06:08:23.647814, 0.004, 0.078, 1.006
2021-09-14 06:08:23.748074, 0.007, 0.078, 1.001
2021-09-14 06:08:23.848316, 0.005, 0.081, 0.997
2021-09-14 06:08:23.948541, 0.004, 0.082, 1.015
2021-09-14 06:08:24.048761, 0.005, 0.079, 1.001
2021-09-14 06:08:24.149009, 0.005, 0.081, 1.003
2021-09-14 06:08:24.249237, 0.008, 0.079, 0.987
2021-09-14 06:08:24.349463, 0.004, 0.077, 1.002
2021-09-14 06:08:24.449687, 0.006, 0.076, 0.998
2021-09-14 06:08:24.549901, 0.006, 0.079, 1.002
2021-09-14 06:08:24.650234, 0.008, 0.077, 1.001
2021-09-14 06:08:24.750456, 0.009, 0.078, 1.001
2021-09-14 06:08:24.850678, 0.005, 0.081, 0.999
2021-09-14 06:08:24.950892, 0.007, 0.080, 0.999
2021-09-14 06:08:25.051115, 0.008, 0.078, 0.997
2021-09-14 06:08:25.151344, 0.004, 0.092, 1.000
2021-09-14 06:08:25.251551, 0.003, 0.078, 1.003
2021-09-14 06:08:25.351759, 0.005, 0.077, 0.995
2021-09-14 06:08:25.451966, 0.005, 0.079, 0.996
2021-09-14 06:08:25.552181, 0.009, 0.086, 0.990
2021-09-14 06:08:25.652398, 0.004, 0.072, 1.001
2021-09-14 06:08:25.752614, 0.003, 0.071, 0.998
2021-09-14 06:08:25.852834, 0.006, 0.078, 1.005
2021-09-14 06:08:25.953048, 0.009, 0.081, 1.001
2021-09-14 06:08:26.053314, 0.005, 0.082, 0.997
2021-09-14 06:08:26.153597, 0.006, 0.077, 0.996
2021-09-14 06:08:26.253852, 0.009, 0.080, 0.993
2021-09-14 06:08:26.354112, 0.004, 0.079, 0.999
2021-09-14 06:08:26.454317, 0.009, 0.083, 0.997
