yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 09:19:04.016918,-0.080, 0.080, 0.101
2021-09-12 09:19:04.117133,-0.035, 0.225,-0.014
2021-09-12 09:19:04.217321,-0.187, 0.096, 0.276
2021-09-12 09:19:04.317503,-0.111, 0.088, 0.017
2021-09-12 09:19:04.417701, 0.049, 0.004,-0.349
2021-09-12 09:19:04.517903,-0.119, 0.027,-0.029
2021-09-12 09:19:04.618125, 0.080,-0.095, 0.170
2021-09-12 09:19:04.718328, 0.011, 0.073, 0.002
2021-09-12 09:19:04.818512, 0.011,-2.193,-0.021
2021-09-12 09:19:04.918693, 0.072, 0.096, 0.208
2021-09-12 09:19:05.019019, 0.171, 0.218, 0.330
2021-09-12 09:19:05.119269,-0.340,-0.202, 0.124
2021-09-12 09:19:05.219494,-0.233,-0.095, 0.376
2021-09-12 09:19:05.319725,-0.035,-0.026,-0.036
2021-09-12 09:19:05.419937, 0.042,-0.004,-0.235
2021-09-12 09:19:05.520145,-0.195,-0.034, 0.048
2021-09-12 09:19:05.620354, 0.217,-0.042, 0.017
2021-09-12 09:19:05.720564,-0.065, 0.157,-0.014
2021-09-12 09:19:05.820828,-0.103,-0.057, 0.131
2021-09-12 09:19:05.921046,-0.317,-0.042,-0.082
2021-09-12 09:19:06.021274, 0.080,-0.049, 0.009
2021-09-12 09:19:06.121509,-0.203, 0.195,-0.014
2021-09-12 09:19:06.221719,-0.050, 0.172,-0.097
2021-09-12 09:19:06.321980, 0.278, 0.202,-0.113
2021-09-12 09:19:06.422181,-0.103,-0.110, 0.215
2021-09-12 09:19:06.522413,-0.134, 1.690, 0.116
2021-09-12 09:19:06.622626, 0.064,-0.011, 0.032
2021-09-12 09:19:06.722830,-0.012,-0.042,-0.082
2021-09-12 09:19:06.823028, 0.057,-0.065,-0.212
2021-09-12 09:19:06.923235,-0.195, 0.134,-0.204
2021-09-12 09:19:07.023455,-0.058, 0.157,-0.044
2021-09-12 09:19:07.123680, 0.011,-0.217,-0.067
2021-09-12 09:19:07.223901, 0.042, 0.019, 0.032
2021-09-12 09:19:07.324119,-0.065, 0.004, 0.025
2021-09-12 09:19:07.424329,-0.286, 0.218,-0.067
2021-09-12 09:19:07.524536, 0.194,-0.042,-0.036
2021-09-12 09:19:07.624764,-0.210,-0.080,-0.288
2021-09-12 09:19:07.725043,-0.065,-0.049,-0.006
2021-09-12 09:19:07.825257,-0.042,-0.141,-0.143
2021-09-12 09:19:07.925466,-0.065,-0.088, 0.017
2021-09-12 09:19:08.025670,-0.004,-0.141,-0.158
2021-09-12 09:19:08.125879, 0.133, 0.042,-0.014
2021-09-12 09:19:08.226102, 0.034,-0.103, 0.032
2021-09-12 09:19:08.326317, 0.003,-0.240, 0.017
2021-09-12 09:19:08.426526,-0.203, 0.035,-0.014
2021-09-12 09:19:08.526734, 0.141, 0.118, 0.307
2021-09-12 09:19:08.626934, 0.042,-0.088, 0.246
2021-09-12 09:19:08.727126,-0.080,-0.133, 0.002
2021-09-12 09:19:08.827348,-0.111, 0.317, 0.040
2021-09-12 09:19:08.927571, 0.126,-0.164,-0.097
2021-09-12 09:19:09.027785, 0.103, 0.088, 0.177
2021-09-12 09:19:09.128002, 0.141, 0.118, 0.124
2021-09-12 09:19:09.228214, 0.187, 0.035,-0.197
2021-09-12 09:19:09.328424,-0.065, 0.172, 0.154
2021-09-12 09:19:09.428651, 0.118, 0.080, 0.040
2021-09-12 09:19:09.528873,-0.019,-0.210, 0.231
2021-09-12 09:19:09.629258,-0.203, 0.012, 0.017
2021-09-12 09:19:09.729473,-0.004, 0.180,-0.090
2021-09-12 09:19:09.829777,-0.027, 0.096,-0.029
2021-09-12 09:19:09.929990,-0.012, 0.111, 0.254
2021-09-12 09:19:10.030216, 0.019,-2.147,-0.044
2021-09-12 09:19:10.130442,-0.119,-0.042, 0.116
2021-09-12 09:19:10.230655,-0.073, 0.103,-0.067
2021-09-12 09:19:10.330871,-0.142,-0.072, 0.147
2021-09-12 09:19:10.431083, 0.064, 0.187, 0.124
2021-09-12 09:19:10.531291,-0.019, 0.042, 0.101
2021-09-12 09:19:10.631518,-0.012,-0.057,-0.059
2021-09-12 09:19:10.731747,-0.096, 0.088, 0.116
2021-09-12 09:19:10.831980, 0.011, 0.035, 0.078
2021-09-12 09:19:10.932209, 0.072,-0.080, 0.093
2021-09-12 09:19:11.032428,-0.111,-0.072,-0.059
2021-09-12 09:19:11.132622, 0.126, 0.027,-0.097
2021-09-12 09:19:11.232821, 0.080, 0.157, 0.162
2021-09-12 09:19:11.333015, 0.171, 0.172, 0.063
2021-09-12 09:19:11.433201,-0.080, 0.195,-0.250
2021-09-12 09:19:11.533382,-0.004,-0.095,-0.181
2021-09-12 09:19:11.633561, 0.194, 0.195, 0.109
2021-09-12 09:19:11.733762,-0.042, 0.157,-0.128
2021-09-12 09:19:11.833962,-0.111,-0.072, 0.223
2021-09-12 09:19:11.934153,-0.027, 0.042,-0.090
2021-09-12 09:19:12.034333, 0.087, 0.035,-0.151
2021-09-12 09:19:12.134518, 0.042,-0.019, 0.322
2021-09-12 09:19:12.234732, 0.057, 0.103, 0.078
2021-09-12 09:19:12.334947,-0.065,-0.225, 0.131
2021-09-12 09:19:12.435179,-0.096,-0.187,-0.166
2021-09-12 09:19:12.535400,-0.019, 0.027, 0.147
2021-09-12 09:19:12.635611, 0.232,-0.225,-0.181
2021-09-12 09:19:12.735871, 0.034,-0.164,-0.006
2021-09-12 09:19:12.836088, 0.110, 0.080,-0.059
2021-09-12 09:19:12.936308,-0.180, 0.035,-0.006
2021-09-12 09:19:13.036538,-0.111,-0.187,-0.143
2021-09-12 09:19:13.136755,-0.042,-0.088,-0.052
2021-09-12 09:19:13.236973,-0.134, 0.233, 0.139
2021-09-12 09:19:13.337191,-0.027, 0.057,-0.052
2021-09-12 09:19:13.437402,-0.019,-0.011,-0.258
2021-09-12 09:19:13.537609,-0.119,-0.080, 0.124
2021-09-12 09:19:13.637838, 0.171,-0.294, 0.063
2021-09-12 09:19:13.738057,-0.134,-0.110,-0.014
2021-09-12 09:19:13.838264,-0.332, 0.134,-0.075
2021-09-12 09:19:13.938473, 0.080,-0.232, 0.040
2021-09-12 09:19:14.038684, 0.049,-0.088, 0.322
2021-09-12 09:19:14.138922, 0.011, 0.332,-0.189
2021-09-12 09:19:14.239146,-0.035,-0.065, 0.055
2021-09-12 09:19:14.339367,-0.103,-0.133, 0.170
2021-09-12 09:19:14.439580,-0.096, 0.149,-0.212
2021-09-12 09:19:14.539783,-0.065, 0.241, 0.048
2021-09-12 09:19:14.639983,-0.271,-0.057,-0.052
2021-09-12 09:19:14.740187,-0.126, 0.096,-0.151
2021-09-12 09:19:14.840402, 0.240, 0.042, 0.261
2021-09-12 09:19:14.940615,-0.142, 0.088,-0.075
2021-09-12 09:19:15.040818,-0.080,-0.065, 0.078
2021-09-12 09:19:15.141025,-0.058, 0.355, 0.200
2021-09-12 09:19:15.241235,-0.019, 0.019, 0.254
2021-09-12 09:19:15.341439,-0.233, 0.096, 0.063
2021-09-12 09:19:15.441657, 0.141,-0.202,-0.067
2021-09-12 09:19:15.541872,-0.050,-0.095, 0.032
2021-09-12 09:19:15.642107, 0.080, 0.004, 0.017
2021-09-12 09:19:15.742328,-0.142,-0.194,-0.090
2021-09-12 09:19:15.842546,-0.088,-0.080,-0.181
2021-09-12 09:19:15.942774, 0.049,-0.042,-0.143
2021-09-12 09:19:16.043014,-0.149, 0.012,-0.021
2021-09-12 09:19:16.143244,-0.187, 0.126,-0.136
2021-09-12 09:19:16.243456, 0.057,-0.011, 0.032
2021-09-12 09:19:16.343672, 0.034,-0.187, 0.246
2021-09-12 09:19:16.443882, 0.164,-2.170,-0.075
2021-09-12 09:19:16.544104,-0.203,-0.042,-0.006
2021-09-12 09:19:16.644319, 0.095,-0.095,-0.036
2021-09-12 09:19:16.744627, 0.034,-0.133,-0.113
2021-09-12 09:19:16.844888,-0.035,-0.088, 0.185
2021-09-12 09:19:16.945111,-0.065, 0.035, 0.070
2021-09-12 09:19:17.045313, 0.103,-0.179, 0.101
2021-09-12 09:19:17.145522, 0.072,-0.065,-0.021
2021-09-12 09:19:17.245740,-0.286,-0.026,-0.029
2021-09-12 09:19:17.345943,-0.019, 0.233,-0.067
2021-09-12 09:19:17.446181, 0.171,-0.057, 0.070
2021-09-12 09:19:17.546479,-0.256,-0.026, 0.048
2021-09-12 09:19:17.646703,-0.180,-0.179, 0.124
2021-09-12 09:19:17.746933,-0.042,-0.141, 0.055
2021-09-12 09:19:17.847155, 0.011, 0.157, 0.223
2021-09-12 09:19:17.947374, 0.003,-0.141, 0.078
2021-09-12 09:19:18.047594,-0.317,-0.042, 0.124
2021-09-12 09:19:18.147869, 0.164, 0.065, 0.040
2021-09-12 09:19:18.248086, 0.049, 0.042,-0.181
2021-09-12 09:19:18.348292,-0.126, 0.103, 0.070
2021-09-12 09:19:18.448516,-0.218, 0.004, 0.009
2021-09-12 09:19:18.548730,-0.080, 0.065,-0.143
2021-09-12 09:19:18.648940,-0.004,-0.019,-0.090
2021-09-12 09:19:18.749147,-0.012, 0.164, 0.162
2021-09-12 09:19:18.849353, 0.003,-0.065, 0.269
2021-09-12 09:19:18.949583,-0.195,-0.049,-0.044
2021-09-12 09:19:19.049776,-0.103, 0.019,-0.204
2021-09-12 09:19:19.150008,-0.119, 0.088, 0.109
2021-09-12 09:19:19.250228, 0.095, 0.302, 0.009
2021-09-12 09:19:19.350437, 0.232,-0.004,-0.052
2021-09-12 09:19:19.450643, 0.011,-0.080,-0.143
2021-09-12 09:19:19.550868, 0.019,-0.095,-0.059
2021-09-12 09:19:19.651087,-0.065,-0.141,-0.044
2021-09-12 09:19:19.751300,-0.019,-0.278, 0.032
2021-09-12 09:19:19.851506,-0.241,-0.057,-0.097
2021-09-12 09:19:19.951714, 0.087,-0.080,-0.189
2021-09-12 09:19:20.051992, 0.003, 0.454, 0.002
2021-09-12 09:19:20.152214, 0.080,-0.103,-0.113
2021-09-12 09:19:20.252413,-0.195, 0.012, 0.055
2021-09-12 09:19:20.352631,-0.019, 0.157,-0.212
2021-09-12 09:19:20.452839,-0.080, 0.080, 0.162
2021-09-12 09:19:20.553039,-0.195, 0.149,-0.014
2021-09-12 09:19:20.653270, 0.194,-0.042, 0.124
2021-09-12 09:19:20.753485, 0.270, 0.012,-0.082
2021-09-12 09:19:20.853762, 0.110, 0.012, 0.345
2021-09-12 09:19:20.954024,-0.111, 0.286, 0.116
2021-09-12 09:19:21.054229, 0.042, 0.157, 0.154
2021-09-12 09:19:21.154438, 0.026, 0.027, 0.063
