yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 09:17:36.686352,-1.526, 0.557,-0.710
2021-09-12 09:17:36.786582,-1.427, 0.153,-1.045
2021-09-12 09:17:36.886796,-1.335, 0.000,-1.091
2021-09-12 09:17:36.986976,-1.335, 0.458,-1.152
2021-09-12 09:17:37.087136,-1.328, 0.061,-0.938
2021-09-12 09:17:37.187298,-1.617, 0.343,-0.778
2021-09-12 09:17:37.287467,-1.167, 0.282,-1.076
2021-09-12 09:17:37.387620,-1.411, 0.381,-1.183
2021-09-12 09:17:37.487760,-1.465, 0.298,-0.984
2021-09-12 09:17:37.587894,-1.266, 0.290,-1.129
2021-09-12 09:17:37.688057,-1.160, 0.282,-1.038
2021-09-12 09:17:37.788275,-1.595, 0.107,-1.007
2021-09-12 09:17:37.888487,-1.167, 0.305,-1.038
2021-09-12 09:17:37.988701,-1.251, 0.214,-0.801
2021-09-12 09:17:38.088902,-1.312, 0.275,-0.763
2021-09-12 09:17:38.189196,-1.328, 1.869,-0.923
2021-09-12 09:17:38.289428,-1.472, 0.267,-1.106
2021-09-12 09:17:38.389643,-1.373, 0.252,-1.068
2021-09-12 09:17:38.489902,-1.457, 0.191,-1.060
2021-09-12 09:17:38.590117,-1.259, 0.275,-0.778
2021-09-12 09:17:38.690331,-1.305, 0.359,-0.671
2021-09-12 09:17:38.790542,-1.434, 0.435,-0.969
2021-09-12 09:17:38.890751,-1.434, 0.305,-0.725
2021-09-12 09:17:38.990983,-1.480, 0.267,-0.816
2021-09-12 09:17:39.091220,-1.450, 0.023,-1.167
2021-09-12 09:17:39.191449,-1.572, 0.359,-0.572
2021-09-12 09:17:39.291641,-1.442, 0.191,-0.847
2021-09-12 09:17:39.391806,-1.175, 0.397,-0.969
2021-09-12 09:17:39.491954,-1.312, 0.298,-1.045
2021-09-12 09:17:39.592108,-1.541, 0.046,-1.068
2021-09-12 09:17:39.692269,-1.472, 0.069,-0.984
2021-09-12 09:17:39.792418,-1.450, 0.153,-0.923
2021-09-12 09:17:39.892585,-1.305, 0.092,-0.961
2021-09-12 09:17:39.992786,-1.358, 0.153,-0.885
2021-09-12 09:17:40.093056,-1.343, 0.572,-1.083
2021-09-12 09:17:40.193355,-1.404, 0.320,-1.045
2021-09-12 09:17:40.293586,-1.381, 0.076,-0.969
2021-09-12 09:17:40.393805,-1.465, 0.259,-1.167
2021-09-12 09:17:40.494016,-1.488, 0.351,-0.984
2021-09-12 09:17:40.594220,-1.274, 0.298,-1.175
2021-09-12 09:17:40.694424,-1.427, 0.061,-1.045
2021-09-12 09:17:40.794618,-1.518, 0.328,-1.068
2021-09-12 09:17:40.894842,-1.419, 0.389,-1.183
2021-09-12 09:17:40.995043,-1.328, 0.290,-1.175
2021-09-12 09:17:41.095248,-1.488, 0.336,-0.877
2021-09-12 09:17:41.195483,-1.144, 0.175,-1.137
2021-09-12 09:17:41.295698,-1.366, 0.168,-1.259
2021-09-12 09:17:41.395927,-1.312,-0.031,-1.022
2021-09-12 09:17:41.496145,-1.396, 0.603,-0.671
2021-09-12 09:17:41.596349,-1.450,-1.854,-0.931
2021-09-12 09:17:41.696553,-1.404, 0.488,-0.923
2021-09-12 09:17:41.796732,-1.328, 0.130,-1.038
2021-09-12 09:17:41.896958,-1.373, 0.313,-1.030
2021-09-12 09:17:41.997193,-1.457, 0.298,-0.977
2021-09-12 09:17:42.097431,-1.450, 0.214,-0.931
2021-09-12 09:17:42.197678,-1.419, 0.298,-0.931
2021-09-12 09:17:42.297939,-1.266, 0.160,-0.778
2021-09-12 09:17:42.398177,-1.343, 0.237,-0.992
2021-09-12 09:17:42.498413,-1.541, 0.275,-1.091
2021-09-12 09:17:42.598667,-1.450, 0.290,-0.977
2021-09-12 09:17:42.698952,-1.289, 0.221,-0.862
2021-09-12 09:17:42.799250,-1.610, 0.397,-0.923
2021-09-12 09:17:42.899527,-1.274, 0.107,-1.022
2021-09-12 09:17:42.999740,-1.419, 0.343,-1.038
2021-09-12 09:17:43.099910,-1.526, 0.343,-1.030
2021-09-12 09:17:43.200076,-1.495, 0.305,-1.122
2021-09-12 09:17:43.300295,-1.770, 0.183,-1.160
2021-09-12 09:17:43.400492,-1.465, 0.137,-1.205
2021-09-12 09:17:43.500741,-1.236, 0.320,-1.015
2021-09-12 09:17:43.600947,-1.091, 0.320,-1.144
2021-09-12 09:17:43.701223,-1.312, 0.153,-0.961
2021-09-12 09:17:43.801437,-1.228, 1.938,-1.106
2021-09-12 09:17:43.901638,-1.389, 0.130,-1.068
2021-09-12 09:17:44.001848,-1.053, 0.145,-0.969
2021-09-12 09:17:44.102080,-1.488, 0.328,-1.091
2021-09-12 09:17:44.202317,-1.350, 0.359,-1.114
2021-09-12 09:17:44.302544,-1.465, 0.130,-1.007
2021-09-12 09:17:44.402757,-1.289, 0.175,-0.885
2021-09-12 09:17:44.502962,-1.358,-1.953,-0.847
2021-09-12 09:17:44.603217,-1.381, 0.305,-1.251
2021-09-12 09:17:44.703436,-1.099, 0.137,-0.984
2021-09-12 09:17:44.803646,-1.366, 0.183,-1.183
2021-09-12 09:17:44.905248,-1.320, 0.175,-0.809
2021-09-12 09:17:45.005422,-1.167, 0.221,-1.266
2021-09-12 09:17:45.105583,-1.526, 0.237,-1.106
2021-09-12 09:17:45.205748,-1.236, 0.397,-0.801
2021-09-12 09:17:45.305839,-1.244, 0.237,-0.870
2021-09-12 09:17:45.406003,-1.411, 0.275,-1.122
2021-09-12 09:17:45.506161,-1.457, 0.076,-0.984
2021-09-12 09:17:45.606351,-1.678, 0.389,-0.916
2021-09-12 09:17:45.706549,-1.503, 0.084,-0.824
2021-09-12 09:17:45.806748,-1.389, 0.267,-0.900
2021-09-12 09:17:45.906955,-1.472, 0.198,-0.778
2021-09-12 09:17:46.007163,-1.495, 0.450,-0.999
2021-09-12 09:17:46.107365,-1.373, 0.389,-0.931
2021-09-12 09:17:46.207558,-1.595, 0.061,-0.816
2021-09-12 09:17:46.307748,-1.114, 0.496,-0.717
2021-09-12 09:17:46.407940,-1.350, 0.259,-1.137
2021-09-12 09:17:46.508159,-1.404, 0.336,-1.030
2021-09-12 09:17:46.608376,-1.305, 0.290,-0.900
2021-09-12 09:17:46.708578,-1.251, 0.046,-1.175
2021-09-12 09:17:46.808814,-1.389, 0.221,-0.854
2021-09-12 09:17:46.908956,-1.427, 0.168,-0.877
2021-09-12 09:17:47.009186,-1.312, 0.206,-0.893
2021-09-12 09:17:47.109361,-1.320, 0.137,-0.992
2021-09-12 09:17:47.209524,-1.358, 0.374,-0.954
2021-09-12 09:17:47.309684,-1.289, 1.915,-0.793
2021-09-12 09:17:47.409843,-1.366, 1.938,-1.213
2021-09-12 09:17:47.509987,-1.274, 0.252,-1.137
2021-09-12 09:17:47.610137,-1.312, 0.259,-1.015
2021-09-12 09:17:47.710301,-1.366, 0.237,-0.984
2021-09-12 09:17:47.810502,-1.541, 0.206,-0.732
2021-09-12 09:17:47.910715,-1.488, 0.191,-0.839
2021-09-12 09:17:48.010909,-1.457, 0.107,-1.373
2021-09-12 09:17:48.111124,-1.411, 0.107,-1.244
2021-09-12 09:17:48.211343,-1.633, 0.160,-1.083
2021-09-12 09:17:48.311546,-1.457, 0.359,-0.992
2021-09-12 09:17:48.411747,-1.419, 0.244,-1.076
2021-09-12 09:17:48.511988,-1.579, 0.229,-0.946
2021-09-12 09:17:48.612210,-1.389, 0.229,-1.114
2021-09-12 09:17:48.712466,-1.396, 0.145,-1.007
2021-09-12 09:17:48.812681,-1.411, 0.305,-1.190
2021-09-12 09:17:48.913065,-1.259, 0.244,-0.725
2021-09-12 09:17:49.013310,-1.244, 0.137,-1.022
2021-09-12 09:17:49.113526,-1.328, 0.282,-0.809
2021-09-12 09:17:49.213764,-1.434, 1.892,-1.015
2021-09-12 09:17:49.313982,-1.534, 0.267,-1.022
2021-09-12 09:17:49.414145,-1.427,-1.869,-1.152
2021-09-12 09:17:49.514295,-1.236, 0.191,-1.091
2021-09-12 09:17:49.614433,-1.472, 0.214,-0.633
2021-09-12 09:17:49.714569,-1.335, 1.945,-1.083
2021-09-12 09:17:49.814724,-1.343, 0.290,-0.969
2021-09-12 09:17:49.914896,-1.495, 0.298,-1.076
2021-09-12 09:17:50.015086,-1.068, 0.305,-0.633
2021-09-12 09:17:50.115270,-1.358, 0.351,-1.320
2021-09-12 09:17:50.215481,-1.091, 0.252,-0.893
2021-09-12 09:17:50.315694,-1.328, 0.290,-0.961
2021-09-12 09:17:50.415907,-1.190, 0.267,-0.832
2021-09-12 09:17:50.516085,-1.450, 0.099,-0.572
2021-09-12 09:17:50.616272,-1.381, 0.328,-0.748
2021-09-12 09:17:50.716452,-1.350, 0.145,-0.885
2021-09-12 09:17:50.816632,-1.518, 0.053,-1.030
2021-09-12 09:17:50.916807,-1.343, 0.160,-1.030
2021-09-12 09:17:51.016989,-1.328, 0.351,-0.832
2021-09-12 09:17:51.117174,-1.396, 0.046,-1.038
2021-09-12 09:17:51.217368,-1.358, 0.183,-1.022
2021-09-12 09:17:51.317547,-1.213, 0.153,-1.183
2021-09-12 09:17:51.417732,-1.503, 0.328,-0.893
2021-09-12 09:17:51.517914,-1.602, 0.183,-0.816
2021-09-12 09:17:51.618088,-1.495, 0.046,-1.045
2021-09-12 09:17:51.718311,-1.305, 0.290,-1.274
2021-09-12 09:17:51.818551,-1.282, 0.366,-1.038
2021-09-12 09:17:51.918916,-1.358, 0.046,-0.969
2021-09-12 09:17:52.019089,-1.564, 0.259,-0.839
2021-09-12 09:17:52.119232,-1.503, 0.107,-1.274
2021-09-12 09:17:52.219380,-1.587, 0.214,-0.999
2021-09-12 09:17:52.319529,-1.541,-0.122,-0.992
2021-09-12 09:17:52.419671,-1.282, 0.153,-0.946
2021-09-12 09:17:52.519815,-1.617, 1.930,-1.053
