delta_t,x [g],y [g],z [g],x [dps],y [dps],z [dps],x [uT],y [uT],z [uT]
0.021315574645996094,-0.000, 0.003, 1.013,-0.201,-0.000, 0.000,-14.877, 6.866,14.590
0.031439781188964844,-0.001,-0.001, 1.014, 0.142, 0.053,-0.236,-15.736, 6.580,16.593
0.04122138023376465, 0.005, 0.003, 1.020,-0.049,-0.092,-0.160,-14.305, 5.722,14.590
0.050993919372558594, 0.000, 0.003, 1.012, 0.111,-0.122, 0.076,-13.447, 9.441,12.587
0.06077241897583008, 0.000,-0.001, 1.009,-0.034, 0.114, 0.069,-15.736, 8.869,17.737
0.08125591278076172, 0.003, 0.001, 1.002, 0.043,-0.061,-0.061,-15.450, 6.866,12.873
0.10179710388183594,-0.001, 0.002, 1.016,-0.179,-0.138, 0.084,-12.875, 7.725,15.448
0.11159372329711914, 0.004, 0.003, 1.012, 0.066, 0.023, 0.130,-15.736, 8.297,16.021
0.13245296478271484,-0.001,-0.001, 1.011,-0.049, 0.007,-0.068,-13.161, 8.583,13.446
0.14184188842773438,-0.001,-0.003, 1.011, 0.127,-0.077,-0.030,-18.597, 7.725,12.587
0.16166114807128906,-0.003,-0.003, 1.013,-0.156, 1.663,-0.038,-16.022, 8.011,15.735
0.18176531791687012, 0.002, 0.002, 1.010, 0.005,-0.153,-0.046,-13.447, 7.153,16.021
0.202317476272583,-0.004,-0.000, 1.022, 0.119, 0.114, 0.130,-12.302, 9.441,14.304
0.22235608100891113, 0.001,-0.000, 1.016,-0.262,-0.412, 0.122,-15.450, 8.011,14.590
0.24234390258789062,-0.004,-0.002, 1.015,-0.026,-0.039, 0.176,-11.730, 7.725,13.160
0.2623589038848877,-0.002, 0.004, 1.007,-0.262, 0.038, 0.267,-13.447, 7.725,17.165
0.28238606452941895,-0.003, 0.001, 1.016,-0.056,-0.100, 0.145,-12.589, 8.011,17.451
0.3029918670654297,-0.002, 0.001, 1.018,-0.003,-2.022, 0.008,-12.589, 7.439,15.162
0.3230555057525635,-0.000, 0.002, 1.017,-0.018, 1.739, 0.145,-14.305, 9.155,16.879
0.3431110382080078,-0.001, 0.002, 1.009, 0.096, 0.114,-0.122,-15.736, 8.869,14.876
0.36302852630615234, 0.002, 0.004, 1.010, 0.073,-0.039, 0.130,-15.736, 8.297,15.448
0.38294053077697754,-0.000,-0.002, 1.008, 0.012, 0.076, 0.023,-16.594, 6.294,14.018
0.3918955326080322,-0.001,-0.000, 1.014,-0.186,-0.161, 0.260,-14.019, 7.725,16.593
0.400895357131958,-0.002, 0.002, 1.012,-0.163,-0.008, 0.008,-14.305, 6.866,16.879
0.41001462936401367,-0.003, 0.007, 1.024,-0.056, 0.404,-0.023,-14.305, 6.866,15.162
0.41907596588134766,-0.005,-0.000, 1.016,-0.011, 0.091, 0.366,-14.877, 8.583,16.879
0.42809152603149414,-0.000,-0.000, 1.009, 0.035,-0.000,-0.068,-14.591, 7.153,14.304
0.4371926784515381,-0.001,-0.006, 1.015, 0.043, 0.061,-0.007,-14.019,11.158,12.587
0.45676636695861816,-0.001,-0.002, 1.014,-0.064, 0.030,-0.038,-12.589, 6.294,18.023
0.4766719341278076, 0.002,-0.003, 1.012,-0.262, 1.670, 0.092,-13.733, 6.866,14.018
0.4966096878051758,-0.003, 0.003, 1.010,-0.285,-0.100,-0.030,-15.450, 9.155,16.307
0.5165205001831055, 0.002,-0.005, 0.996, 0.256,-0.100,-0.061,-14.019, 7.153,17.737
0.5364477634429932, 0.004, 0.005, 1.013, 0.394,-0.092,-0.061,-18.597, 7.153,17.165
0.5563540458679199, 0.002, 0.002, 1.017,-0.499,-0.016,-0.046,-12.589, 8.583,16.307
0.5762593746185303,-0.003, 0.002, 1.019, 0.081,-0.008, 0.069,-14.019, 6.580,15.448
0.5852396488189697,-0.001,-0.002, 1.000, 0.966,-0.153, 0.145,-15.163, 9.441,19.454
0.5942227840423584, 0.005, 0.005, 1.015, 0.859, 0.312, 0.260,-13.447, 7.725,14.876
0.6033244132995605,-0.001, 0.479, 0.886,-2.238,-2.030, 7.401,-13.161, 8.011,17.451
0.6123077869415283,-0.052, 0.062, 0.961,-0.171, 0.564, 1.526,-14.305, 6.866,18.023
0.6212913990020752, 0.032,-0.068, 1.014, 0.516, 0.206,-0.175,-13.733, 6.866,15.162
0.6407680511474609,-0.010, 0.021, 1.001, 0.424, 0.183, 0.496,-15.736, 9.441,15.448
0.6602447032928467,-0.043, 0.009, 1.009, 0.615, 0.190, 4.608,-13.447,10.014,17.165
0.6801528930664062, 0.007,-0.016, 1.028,-1.170,-0.069, 4.494,-14.305, 7.439,15.162
0.7000794410705566, 0.007,-0.079, 1.034,-2.513,-0.832,-0.068,-13.733, 8.011,17.451
0.719994068145752,-0.002,-0.003, 1.019,-0.491, 0.145,-0.564,-14.305, 7.439,15.735
0.739901065826416, 0.001,-0.006, 1.025,-0.911, 0.221,-0.297,-13.447, 7.153,15.448
0.7604141235351562,-0.001,-0.001, 1.006,-0.385,-0.000, 0.374,-14.019, 7.153,14.876
0.7804996967315674,-0.006, 0.003, 1.015, 0.165, 0.129, 0.191,-13.733, 5.722,16.879
0.800600528717041, 0.001,-0.003, 1.026,-0.102, 0.061, 0.061,-13.447, 6.580,16.593
0.8099715709686279, 0.015,-0.009, 1.006,-0.240,-0.023,-0.343,-14.305,10.300,16.879
0.8193745613098145, 0.002, 0.001, 1.010,-0.400,-0.039,-0.595,-14.877,11.444,16.307
0.8287553787231445, 0.003, 0.000, 1.007,-2.597, 0.137,-0.473,-15.450, 7.439,16.307
0.8381447792053223, 0.003, 0.001, 0.996,-0.590, 0.038,-0.419,-14.877, 8.583,12.873
0.8475227355957031,-0.002, 0.005, 1.013,-0.484, 0.030,-0.404,-13.447, 8.297,16.593
0.8568980693817139, 0.000,-0.001, 0.997,-0.499, 0.221,-0.328,-14.591, 7.725,15.448
0.8662757873535156,-0.002, 0.001, 1.012,-0.079, 0.145,-0.091,-16.594, 6.294,15.735
0.8756506443023682,-0.003,-0.000, 0.997,-0.064,-0.016, 0.084,-13.447, 6.008,15.448
0.8955471515655518,-0.001,-0.001, 1.015,-0.209, 0.015, 0.183,-15.736, 7.725,14.304
0.9156589508056641, 0.000,-0.003, 1.009,-0.102,-0.000,-0.084,-13.161, 7.439,15.162
0.9356334209442139,-0.004,-0.001, 1.026, 0.066,-0.084, 0.260,-14.591, 8.869,15.448
0.956082820892334, 0.002,-0.001, 1.014, 0.150, 0.221, 0.061,-12.589, 8.583,18.023
0.9765927791595459,-0.001,-0.002, 1.012,-0.079, 0.068, 0.160,-14.019, 6.580,14.876
0.9966256618499756, 0.002, 0.001, 1.011, 0.043, 0.137, 0.389,-16.308, 8.297,15.448
1.0173308849334717, 0.014, 0.000, 1.003,-0.377,-2.129,-0.702,-13.161, 8.011,15.162
1.0380313396453857,-0.001,-0.002, 1.018, 0.035,-0.344,-0.526,-12.589, 6.866,16.307
1.0582821369171143,-0.008, 0.005, 1.015,-0.018, 1.602,-1.182,-14.305, 7.439,14.590
