delta_t,x [dps],y [dps],z [dps]
0.0029916763305664062,-0.021, 0.023, 0.056
0.006158590316772461, 0.452, 0.100, 0.208
0.009064674377441406, 0.513, 0.084, 0.010
0.011909008026123047, 0.803, 0.214, 0.117
0.014733314514160156, 0.399,-0.297, 0.033
0.01752781867980957, 0.086, 0.207, 0.071
0.02030467987060547, 0.056,-0.129,-0.257
0.023097515106201172, 0.246,-0.122, 0.078
0.025913000106811523, 0.056, 0.054,-0.211
0.02869582176208496, 0.582, 0.100,-0.044
0.03146815299987793, 0.277,-0.015,-0.143
0.034241676330566406, 0.277, 0.115, 0.056
0.0370180606842041, 0.071, 0.039, 0.101
0.039804935455322266,-0.074,-0.106,-0.097
0.04260444641113281,-0.173, 0.199,-0.135
0.04538106918334961, 0.193,-0.099, 0.124
0.048152923583984375,-0.128, 0.306,-0.074
0.050928592681884766, 0.101, 0.077, 0.147
0.05370640754699707,-0.425, 0.054,-0.021
0.056493282318115234,-0.082, 0.084, 0.056
0.05929088592529297,-0.212, 0.191, 0.338
0.062064409255981445,-0.028,-0.007,-0.066
0.0648350715637207,-0.158, 0.001,-0.074
0.06760668754577637,-0.219, 0.123, 0.078
0.07039546966552734,-0.295, 1.626,-0.120
0.07317948341369629,-0.013, 0.191, 0.231
0.07598757743835449,-0.044, 0.184,-0.173
0.07876324653625488,-0.082, 0.245,-0.005
0.08153486251831055, 0.033,-0.061,-0.295
0.0843048095703125,-0.120,-0.495,-0.326
0.08723568916320801, 0.338, 0.115, 0.071
0.08989310264587402, 0.185, 0.092, 0.002
0.09248685836791992,-0.303, 0.039,-0.349
0.0950784683227539,-0.219,-0.175, 0.056
0.09765911102294922,-0.074,-0.167,-0.120
0.1002347469329834,-0.013, 1.671,-0.112
0.1028141975402832, 0.071,-2.037,-0.227
0.10538768768310547,-0.189,-0.022, 0.193
0.10799908638000488, 0.048,-0.076,-0.425
0.11058974266052246,-0.372,-0.190,-0.189
0.11317586898803711, 0.063, 0.145,-0.227
0.11576175689697266,-0.059, 0.184,-0.028
0.1183469295501709, 0.262,-2.120, 0.002
0.12095212936401367,-0.097,-0.183,-0.005
0.12356877326965332, 0.017, 0.237,-0.128
0.1261601448059082,-0.204, 0.298, 0.246
0.12874507904052734, 0.284,-0.389, 0.010
0.1313319206237793,-0.135, 0.077,-0.013
0.13391685485839844, 0.323, 0.191, 0.139
0.13650226593017578,-0.051,-0.228,-0.097
0.13909649848937988,-0.036, 0.176,-0.066
0.14175128936767578,-0.089,-0.083,-0.044
0.14438819885253906, 0.094,-0.129, 0.078
0.14700007438659668,-0.143, 0.092, 0.162
0.14959216117858887,-0.204, 0.115, 0.117
0.15217852592468262, 0.033, 0.077, 0.063
0.15477967262268066,-0.097,-0.045,-0.112
0.1574084758758545,-0.128, 0.145, 0.002
0.1600637435913086,-0.036, 0.069, 0.040
0.16267037391662598,-0.143,-0.152,-0.066
0.16527342796325684, 0.017, 0.275,-0.013
0.16791486740112305,-0.189,-0.312, 0.025
0.170546293258667,-0.074, 0.069,-0.044
0.17319226264953613,-0.196,-0.083, 0.124
0.17585372924804688,-0.097,-0.030, 0.162
0.1785433292388916, 0.010,-0.030,-0.105
0.18125033378601074, 0.124, 0.054, 0.078
0.18393874168395996, 0.040, 1.687,-0.257
0.18658089637756348, 0.109, 0.306, 0.002
0.18933725357055664,-0.212, 0.115,-0.051
0.19207453727722168, 0.033, 0.008,-0.356
