acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
 0.001,-0.001, 1.003,-0.003, 0.001, 0.000
 0.004,-0.001, 1.000,-0.003, 0.005, 0.001
 0.001,-0.000, 1.007,-0.000, 0.001, 0.000
-0.000,-0.000, 0.994,-0.000, 0.003, 0.006
-0.001,-0.001, 0.998, 0.004,-0.004, 0.000
-0.003, 0.003, 0.999, 0.001,-0.001,-0.006
 0.005, 0.001, 1.003,-0.005,-0.000, 0.001
-0.002,-0.001, 1.001,-0.003,-0.037, 0.002
-0.001,-0.004, 1.003, 0.001, 0.002,-0.002
-0.002,-0.001, 1.002, 0.004, 0.031,-0.005
 0.001,-0.002, 1.001,-0.004, 0.004, 0.002
 0.000, 0.002, 0.996, 0.001, 0.001,-0.000
 0.002,-0.002, 1.001, 0.000, 0.002,-0.004
-0.000, 0.012, 1.005,-0.004,-0.000,-0.001
-0.002, 0.002, 1.000,-0.001, 0.001,-0.005
 0.000,-0.001, 1.003, 0.001,-0.001, 0.001
 0.004, 0.002, 1.005,-0.003, 0.003,-0.001
-0.003,-0.000, 0.999,-0.003,-0.036,-0.002
 0.004,-0.001, 0.997,-0.002, 0.001,-0.001
 0.002, 0.013, 0.982, 0.002, 0.000,-0.001
-0.002,-0.001, 1.007,-0.003,-0.001,-0.002
-0.001,-0.002, 0.997, 0.002, 0.003,-0.008
 0.001, 0.000, 1.000, 0.003, 0.004,-0.004
-0.004, 0.003, 0.994, 0.002, 0.003, 0.000
 0.003,-0.002, 1.004,-0.001,-0.003,-0.003
 0.003, 0.001, 0.998,-0.003, 0.001, 0.001
 0.003, 0.001, 0.986, 0.001, 0.004,-0.001
-0.001, 0.002, 0.997,-0.002, 0.001, 0.000
 0.002, 0.004, 1.005, 0.001, 0.001, 0.003
 0.001,-0.005, 1.000, 0.002, 0.003,-0.001
-0.000,-0.001, 1.003,-0.002, 0.003,-0.004
-0.001, 0.001, 0.999,-0.001,-0.001,-0.001
-0.000,-0.008, 0.999, 0.001, 0.004, 0.002
-0.004,-0.000, 1.004, 0.000, 0.000,-0.003
 0.001,-0.002, 1.000,-0.002,-0.037, 0.001
-0.001,-0.004, 0.999, 0.000,-0.037, 0.003
-0.001,-0.000, 0.999, 0.003,-0.002,-0.001
 0.004,-0.001, 0.999, 0.001,-0.002,-0.001
 0.003, 0.000, 1.006, 0.002, 0.030,-0.000
 0.001, 0.000, 1.001,-0.002,-0.004,-0.002
