date,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2022-02-09 20:11:00.819490,-0.001377,-0.006500,0.992573,-0.057739,-0.013863,-0.176361,-0.059232,0.217929,-0.278279
2022-02-09 20:11:00.919642,-0.003574,0.001069,1.010396,-0.080627,0.016655,-0.031403,-0.064820,0.219047,-0.277162
2022-02-09 20:11:01.019828,0.003506,0.001313,0.996968,-0.072998,-0.128304,0.136444,-0.064820,0.216812,-0.281632
2022-02-09 20:11:01.119958,0.002529,-0.001617,1.012593,0.026184,0.108208,0.197479,-0.062585,0.225753,-0.279397
2022-02-09 20:11:01.220091,-0.003818,0.000581,1.006733,-0.111145,-0.074898,-0.092438,-0.056997,0.220165,-0.269338
2022-02-09 20:11:01.320198,0.003750,0.000092,1.009663,0.186401,-0.120674,0.128815,-0.060350,0.203401,-0.265986
2022-02-09 20:11:01.420351,0.002285,0.000336,1.016987,0.140625,-0.128304,0.052521,-0.058115,0.212342,-0.281632
2022-02-09 20:11:01.520520,-0.001865,0.002045,1.011128,-0.103516,-0.174080,0.037262,-0.058115,0.212342,-0.274926
2022-02-09 20:11:01.620662,-0.000889,0.002290,1.006489,-0.072998,-0.128304,0.029633,-0.070408,0.222400,-0.280514
2022-02-09 20:11:01.720794,-0.001865,-0.001128,1.013325,-0.103516,0.138725,-0.039032,-0.058115,0.212342,-0.277162
2022-02-09 20:11:01.820920,-0.002842,0.001069,1.017476,-0.027222,0.062431,-0.153473,-0.056997,0.215694,-0.269338
2022-02-09 20:11:01.921049,0.001064,0.001069,1.006245,0.041443,-0.128304,-0.168732,-0.058115,0.210106,-0.279397
2022-02-09 20:11:02.021157,-0.000645,-0.000640,1.015034,-0.072998,0.176872,0.014374,-0.054762,0.213459,-0.271574
2022-02-09 20:11:02.121263,-0.001133,-0.000152,1.022603,-0.118774,0.161613,0.205109,-0.055879,0.210106,-0.283867
2022-02-09 20:11:02.221379,0.002041,-0.000396,1.010151,0.049072,0.024284,-0.046661,-0.059232,0.211224,-0.278279
2022-02-09 20:11:02.321514,-0.000400,0.002290,1.006733,-0.050110,0.138725,-0.100067,-0.052527,0.213459,-0.280514
2022-02-09 20:11:02.421681,-0.003086,0.001801,1.011128,-0.225586,-0.021492,0.395844,-0.060350,0.216812,-0.286102
2022-02-09 20:11:02.521850,-0.001133,0.003022,1.012349,-0.095886,0.337090,0.258514,-0.061467,0.208989,-0.271574
2022-02-09 20:11:02.622008,0.002041,-0.000396,1.010884,0.071960,0.085320,-0.000885,-0.062585,0.210106,-0.268221
2022-02-09 20:11:02.722157,-0.002354,0.004975,1.007710,-0.072998,-0.158821,-0.023773,-0.062585,0.221282,-0.279397
2022-02-09 20:11:02.822291,-0.000156,0.003022,1.024800,-0.103516,-0.196968,0.464508,-0.059232,0.208989,-0.284985
2022-02-09 20:11:02.922491,0.002529,0.000092,1.016987,-0.118774,-0.013863,-0.046661,-0.069290,0.212342,-0.274926
2022-02-09 20:11:03.022658,0.001797,0.003022,1.015034,-0.050110,0.085320,-0.039032,-0.063702,0.215694,-0.273809
2022-02-09 20:11:03.122795,0.003750,-0.002105,1.011860,0.163513,0.092949,-0.084808,-0.059232,0.215694,-0.278279
2022-02-09 20:11:03.222926,-0.000156,-0.003814,1.009907,-0.240845,-0.174080,-0.176361,-0.063702,0.215694,-0.282750
2022-02-09 20:11:03.323084,0.001309,-0.003082,1.009907,-0.225586,-0.021492,-0.176361,-0.074878,0.215694,-0.278279
2022-02-09 20:11:03.423221,-0.001865,-0.002105,1.013325,-0.195068,-0.128304,0.052521,-0.056997,0.208989,-0.276044
2022-02-09 20:11:03.523391,0.002285,-0.000396,1.013081,0.110107,-0.067268,0.121185,-0.063702,0.213459,-0.280514
2022-02-09 20:11:03.623561,-0.002598,-0.000396,1.023091,-0.141663,0.062431,0.052521,-0.060350,0.207871,-0.277162
2022-02-09 20:11:03.723697,0.001797,0.004975,1.009419,-0.149292,0.085320,-0.115326,-0.052527,0.215694,-0.276044
2022-02-09 20:11:03.823867,0.001797,-0.003326,1.010640,0.003296,-0.006233,-0.138214,-0.059232,0.215694,-0.271574
2022-02-09 20:11:03.924046,-0.001377,0.002290,1.015034,-0.072998,0.131096,0.136444,-0.051409,0.207871,-0.270456
2022-02-09 20:11:04.024207,0.002773,0.002290,1.006489,0.102478,-0.082527,-0.122955,-0.064820,0.207871,-0.286102
2022-02-09 20:11:04.124520,0.002285,0.001557,1.014058,0.148254,0.016655,-0.161102,-0.053644,0.210106,-0.281632
2022-02-09 20:11:04.224799,-0.000156,0.000581,1.013569,-0.118774,-0.044380,-0.016144,-0.067055,0.214577,-0.277162
2022-02-09 20:11:04.324969,0.001309,-0.000640,1.019185,0.010925,-0.219856,-0.107697,-0.058115,0.210106,-0.277162
2022-02-09 20:11:04.425134,-0.004307,-0.002349,1.003804,-0.027222,-0.143562,0.121185,-0.059232,0.211224,-0.278279
2022-02-09 20:11:04.525319,-0.001133,-0.000152,1.014546,-0.103516,0.100578,-0.191620,-0.062585,0.214577,-0.272691
2022-02-09 20:11:04.625478,-0.002109,0.002534,1.013569,-0.042480,1.626457,0.159332,-0.051409,0.219047,-0.281632
2022-02-09 20:11:04.725668,0.001309,0.002290,1.016255,-0.065369,-0.189339,0.258514,-0.062585,0.210106,-0.270456
2022-02-09 20:11:04.825871,0.001553,0.002534,1.010151,-0.118774,-0.189339,0.044891,-0.058115,0.205636,-0.265986
2022-02-09 20:11:04.926040,-0.001621,0.000825,1.016743,0.003296,0.009026,-0.214508,-0.062585,0.219047,-0.274926
2022-02-09 20:11:05.026200,0.001553,0.002045,1.009907,0.049072,0.092949,-0.115326,-0.059232,0.217929,-0.273809
2022-02-09 20:11:05.126370,-0.002598,0.002778,1.016987,-0.225586,0.123466,-0.039032,-0.064820,0.210106,-0.268221
2022-02-09 20:11:05.226537,-0.000156,-0.001861,1.013081,-0.164551,-0.097786,-0.031403,-0.065938,0.220165,-0.267103
2022-02-09 20:11:05.326724,0.000820,0.004487,1.013813,-0.057739,0.131096,0.037262,-0.053644,0.214577,-0.272691
2022-02-09 20:11:05.426929,-0.001865,0.000092,1.024556,0.033813,-0.044380,-0.000885,-0.058115,0.223517,-0.270456
