date,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2022-02-09 20:12:05.678738,0.006529,0.001439,1.002989,0.020645,-0.211990,-0.042732,-0.059232,0.208989,-0.278279
2022-02-09 20:12:05.778894,0.004576,0.006322,1.010802,-0.017502,-0.067032,-0.035103,-0.062585,0.207871,-0.265986
2022-02-09 20:12:05.879091,0.002379,0.004613,1.007139,-0.063278,-0.013626,0.102226,-0.046939,0.203401,-0.274926
2022-02-09 20:12:05.979218,0.002623,0.006078,1.008360,-0.162460,-0.089920,-0.035103,-0.059232,0.211224,-0.276044
2022-02-09 20:12:06.079346,0.007261,-0.000758,1.007628,-0.124313,0.123703,-0.164803,-0.058115,0.210106,-0.283867
2022-02-09 20:12:06.179463,0.001890,0.006322,0.995177,-0.017502,-0.135696,0.148003,-0.055879,0.203401,-0.268221
2022-02-09 20:12:06.279638,0.000670,0.002660,1.010069,0.249527,-0.097549,-0.042732,-0.056997,0.204518,-0.273809
2022-02-09 20:12:06.379792,0.005552,0.005589,1.011046,-0.055649,-0.051773,0.292961,-0.052527,0.215694,-0.273809
2022-02-09 20:12:06.479948,0.004820,0.001927,1.012511,0.043533,-0.135696,-0.149544,-0.060350,0.212342,-0.274926
2022-02-09 20:12:06.580064,0.004332,0.004857,1.020567,-0.070908,-0.013626,0.392143,-0.063702,0.206754,-0.269338
2022-02-09 20:12:06.680191,0.018248,-0.000758,1.024962,0.219009,0.322067,0.201408,-0.051409,0.210106,-0.286102
2022-02-09 20:12:06.780319,0.001402,0.002416,1.018614,-0.055649,0.085556,0.209038,-0.053644,0.205636,-0.265986
2022-02-09 20:12:06.880437,0.002623,0.006810,1.012755,-0.116684,0.169479,0.048820,-0.064820,0.210106,-0.268221
2022-02-09 20:12:06.980544,0.001646,0.007054,1.007139,0.043533,-0.234879,-0.271614,-0.051409,0.203401,-0.272691
2022-02-09 20:12:07.080713,0.003355,0.002660,1.017393,-0.154831,-0.021255,0.170891,-0.062585,0.214577,-0.279397
2022-02-09 20:12:07.180943,0.002379,0.006322,1.013975,-0.231125,-0.181473,-0.050362,-0.059232,0.206754,-0.278279
2022-02-09 20:12:07.281134,0.006041,0.000218,1.018858,-0.101425,-0.067032,0.315849,-0.072643,0.213459,-0.269338
2022-02-09 20:12:07.381296,0.005797,0.008031,1.012999,-2.054550,0.833237,-0.706490,-0.060350,0.214577,-0.272691
2022-02-09 20:12:07.481560,0.004576,-0.003444,1.014220,0.112198,0.009262,0.109856,-0.060350,0.207871,-0.274926
2022-02-09 20:12:07.581740,0.011656,0.047826,1.002745,0.226639,-0.402725,0.804131,-0.056997,0.208989,-0.280514
2022-02-09 20:12:07.681929,0.021422,0.010228,0.990294,3.522537,0.070297,-0.599678,-0.060350,0.210106,-0.274926
2022-02-09 20:12:07.782120,0.016783,0.187718,1.012511,-0.849106,-0.463760,-31.063850,-0.062585,0.207871,-0.277162
2022-02-09 20:12:07.882317,0.095640,-0.033229,0.987120,1.035355,-1.570023,-118.290718,-0.039116,0.217929,-0.278279
2022-02-09 20:12:07.982473,-0.053774,-0.091334,1.036680,-1.680710,-0.761307,-85.919197,-0.032410,0.226870,-0.278279
2022-02-09 20:12:08.082613,-0.116030,-0.017360,1.049132,0.890396,-1.844681,-126.110847,-0.010058,0.229105,-0.278279
2022-02-09 20:12:08.182803,0.071226,0.042699,1.025206,0.913284,-2.104080,-78.167732,0.000000,0.221282,-0.268221
2022-02-09 20:12:08.282983,-0.020815,0.049535,1.006407,-0.414230,-0.982559,-66.471870,0.013411,0.223517,-0.279397
2022-02-09 20:12:08.383127,-0.026430,0.009007,0.997618,0.135086,-1.783646,-82.440193,0.020117,0.214577,-0.272691
2022-02-09 20:12:08.483290,-0.005922,-0.022731,1.012999,-0.818588,-2.088821,-92.472847,0.035763,0.196695,-0.277162
2022-02-09 20:12:08.583417,-0.020815,0.003148,1.013731,-0.330307,-1.592911,-90.397652,0.036880,0.200048,-0.269338
2022-02-09 20:12:08.683558,0.002867,-0.012721,1.017638,-0.040390,-1.562393,-74.902351,0.063702,0.184402,-0.271574
2022-02-09 20:12:08.783711,-0.032045,-0.011745,1.023497,-0.124313,-1.280106,-83.485420,0.056997,0.170991,-0.273809
2022-02-09 20:12:08.883854,0.031187,0.011937,1.018370,-0.734665,-0.944412,-80.097969,0.062585,0.172108,-0.274926
2022-02-09 20:12:08.984015,-0.020815,0.039281,1.024718,0.333450,-1.211441,-66.548164,0.062585,0.143051,-0.274926
2022-02-09 20:12:09.084177,-0.024721,-0.000514,1.013975,-0.780441,-1.386917,-61.169441,0.062585,0.151992,-0.277162
2022-02-09 20:12:09.184307,-0.023012,0.025853,1.018370,-0.444748,-1.005447,-67.379768,0.059232,0.137463,-0.269338
2022-02-09 20:12:09.284452,-0.023500,0.013402,1.023497,-0.574448,-1.409805,-84.523018,0.050291,0.121817,-0.269338
2022-02-09 20:12:09.384619,-0.045717,0.011449,1.012266,-0.498154,-1.241959,-89.001472,0.054762,0.103936,-0.269338
2022-02-09 20:12:09.484763,-0.012270,0.003636,1.012755,-0.948288,-4.179276,-115.856941,0.050291,0.106171,-0.273809
2022-02-09 20:12:09.584902,-0.011781,0.039525,0.991759,-0.482895,-2.439774,-148.342903,0.042468,0.084937,-0.268221
2022-02-09 20:12:09.685069,-0.045229,0.053441,1.012266,-4.137375,-2.584732,-149.143990,0.017881,0.067055,-0.281632
2022-02-09 20:12:09.785199,-0.003481,0.003636,0.995665,-2.024033,-2.485550,-146.649178,-0.012293,0.072643,-0.278279
2022-02-09 20:12:09.885343,0.012877,0.002660,1.018370,-1.413681,-1.920975,-152.653511,-0.037998,0.067055,-0.277162
2022-02-09 20:12:09.985492,0.033873,-0.109157,1.005675,0.150345,-2.027786,-123.181160,-0.043586,0.068173,-0.278279
2022-02-09 20:12:10.085651,-0.009096,0.009496,1.009581,-1.100876,-1.722610,-113.896187,-0.065938,0.072643,-0.280514
2022-02-09 20:12:10.185792,-0.001528,0.022679,1.024962,-0.978806,-1.669205,-100.308235,-0.081584,0.086054,-0.269338
2022-02-09 20:12:10.285947,-0.001772,0.062230,1.020079,-1.657822,-1.104630,-80.380257,-0.084937,0.098348,-0.272691
2022-02-09 20:12:10.386093,0.032164,0.016087,1.016417,0.997208,-1.432693,-60.696419,-0.096112,0.107288,-0.274926
2022-02-09 20:12:10.486238,-0.022768,-0.006374,1.016173,0.219009,-1.272476,-42.980965,-0.078231,0.107288,-0.286102
2022-02-09 20:12:10.586434,-0.130190,-0.104762,1.018370,-0.025131,1.886093,77.235405,-0.093877,0.118464,-0.277162
2022-02-09 20:12:10.686612,0.010191,0.033421,1.015440,0.028275,1.817429,87.512199,-0.097230,0.103936,-0.278279
2022-02-09 20:12:10.786780,0.008726,0.005833,1.011290,-0.154831,0.360214,5.648796,-0.089407,0.100583,-0.281632
2022-02-09 20:12:10.887128,-0.004213,-0.009303,1.016417,-0.032761,0.047409,11.050407,-0.078231,0.096112,-0.279397
2022-02-09 20:12:10.987359,-0.010561,-0.004176,1.015196,0.264786,0.032150,7.464592,-0.088289,0.094995,-0.273809
2022-02-09 20:12:11.087598,0.002867,0.061498,1.020567,-0.955917,0.528061,27.926628,-0.080466,0.087172,-0.279397
2022-02-09 20:12:11.187713,-0.006899,-0.047633,1.009337,0.539444,0.077927,23.211662,-0.079349,0.090525,-0.276044
2022-02-09 20:12:11.287881,0.006041,-0.014186,1.015196,-1.962997,-1.425064,-0.889595,-0.080466,0.087172,-0.274926
2022-02-09 20:12:11.388047,0.004576,0.082982,1.017393,1.294754,-0.173843,-44.079597,-0.081584,0.088289,-0.278279
2022-02-09 20:12:11.488230,-0.024965,0.106908,0.998595,-0.871994,-0.433243,-115.116890,-0.091642,0.102818,-0.288337
2022-02-09 20:12:11.588349,0.151060,-0.039088,1.024473,0.249527,-0.623978,-148.480232,-0.092760,0.124052,-0.280514
2022-02-09 20:12:11.688482,-0.029848,-0.031764,1.033018,-1.215317,-2.317703,-105.534370,-0.093877,0.131875,-0.274926
2022-02-09 20:12:11.788623,-0.008364,-0.014674,1.016173,0.608109,0.688278,2.879326,-0.093877,0.129640,-0.274926
2022-02-09 20:12:11.888775,-0.055483,-0.083034,1.020323,0.287674,2.702438,168.261711,-0.100583,0.122935,-0.270456
2022-02-09 20:12:11.988915,0.099058,0.052220,1.006163,-0.978806,2.595627,135.485832,-0.080466,0.093877,-0.279397
2022-02-09 20:12:12.089087,0.079771,0.011693,0.996886,0.135086,2.763474,202.700798,-0.060350,0.082701,-0.272691
2022-02-09 20:12:12.189205,-0.045717,-0.057887,1.012755,1.348160,2.961838,189.593498,-0.036880,0.068173,-0.280514
2022-02-09 20:12:12.289349,-0.009096,0.063939,1.039366,0.264786,1.260483,108.355705,-0.014529,0.056997,-0.276044
2022-02-09 20:12:12.389484,0.067320,-0.140163,0.996641,-4.656174,-0.105179,175.135796,0.001118,0.061467,-0.282750
2022-02-09 20:12:12.489623,0.078795,-0.012721,1.023253,1.927994,3.091537,194.003288,0.023469,0.070408,-0.269338
2022-02-09 20:12:12.589755,-0.023500,0.094457,1.036925,1.203201,0.909531,67.057793,0.035763,0.091642,-0.274926
2022-02-09 20:12:12.689924,-0.023500,-0.012721,0.997618,-0.101425,-0.128067,-0.096138,0.027940,0.083819,-0.271574
2022-02-09 20:12:12.790055,-0.022035,0.003148,1.007628,-0.177719,-0.105179,-0.164803,0.037998,0.093877,-0.274926
2022-02-09 20:12:12.890231,-0.017153,-0.006374,1.013731,0.150345,-0.265396,1.094048,0.041351,0.090525,-0.271574
2022-02-09 20:12:12.990350,0.013609,-0.297145,1.031309,2.133987,3.259384,134.608452,0.058115,0.096112,-0.272691
2022-02-09 20:12:13.090506,-0.028871,0.071751,1.039854,1.096390,5.464279,212.130730,0.059232,0.124052,-0.273809
2022-02-09 20:12:13.190648,0.043883,-0.062526,1.031309,1.042984,2.511703,193.598930,0.068173,0.155345,-0.278279
2022-02-09 20:12:13.290806,-0.007631,-0.013209,1.019102,0.539444,0.100815,-9.289558,0.062585,0.174344,-0.268221
2022-02-09 20:12:13.390964,-0.013490,0.013158,1.007628,-0.101425,0.093185,-0.042732,0.058115,0.165403,-0.272691
2022-02-09 20:12:13.491101,-0.012758,0.011937,1.012755,0.196121,-0.158585,-0.073250,0.062585,0.167638,-0.270456
2022-02-09 20:12:13.591234,-0.009340,0.010472,1.011290,-0.299789,0.161850,0.148003,0.059232,0.166520,-0.271574
2022-02-09 20:12:13.691373,-0.015444,0.010228,1.010069,0.135086,0.108444,-0.004585,0.046939,0.172108,-0.279397
2022-02-09 20:12:13.791504,-0.011781,0.008275,1.015196,-2.176620,0.215256,-0.248726,0.059232,0.164285,-0.267103
2022-02-09 20:12:13.891666,-0.013002,-0.001002,1.013975,0.104568,0.131332,0.430290,0.051409,0.172108,-0.268221
2022-02-09 20:12:13.991794,-0.157045,-0.143581,1.017393,0.600479,0.840866,63.647453,0.060350,0.176579,-0.279397
2022-02-09 20:12:14.091951,-0.034975,-0.075954,1.009093,1.233719,3.015244,154.910271,0.048056,0.184402,-0.273809
2022-02-09 20:12:14.192120,0.083922,0.142552,1.003966,2.668045,1.016342,124.217216,0.034645,0.202283,-0.269338
2022-02-09 20:12:14.292288,-0.020082,-0.022975,1.007384,0.852249,2.015793,133.624260,0.012293,0.213459,-0.269338
2022-02-09 20:12:14.392493,0.067564,0.126439,0.997374,1.805923,1.367294,126.506035,0.003353,0.229105,-0.271574
2022-02-09 20:12:14.492806,0.007261,-0.001002,1.016661,0.180862,1.710617,116.038506,-0.021234,0.220165,-0.258163
2022-02-09 20:12:14.593053,0.014342,-0.001735,1.008116,1.866959,1.336777,91.212456,-0.037998,0.221282,-0.268221
2022-02-09 20:12:14.693229,0.008482,-0.050807,1.013487,-0.002243,0.665390,53.996269,-0.045821,0.217929,-0.276044
2022-02-09 20:12:14.793396,0.043638,-0.011012,1.020323,1.187943,1.657211,27.949516,-0.049174,0.216812,-0.274926
2022-02-09 20:12:14.893593,-0.057680,-0.009792,1.024718,1.058243,-0.189102,0.361626,-0.055879,0.216812,-0.274926
2022-02-09 20:12:14.993753,0.030211,0.042210,0.993956,1.134537,0.337326,86.428825,-0.059232,0.217929,-0.278279
2022-02-09 20:12:15.093952,-0.141664,0.022679,0.999571,0.463150,0.993454,55.400078,-0.064820,0.207871,-0.286102
2022-02-09 20:12:15.194112,0.025084,-0.021266,1.008848,0.379227,0.512802,29.040520,-0.069290,0.223517,-0.272691
2022-02-09 20:12:15.294286,-0.032533,0.004857,1.024718,0.272415,0.390732,33.793633,-0.064820,0.203401,-0.274926
2022-02-09 20:12:15.394490,0.024595,0.004125,1.006163,0.356339,0.543320,42.544548,-0.069290,0.205636,-0.274926
2022-02-09 20:12:15.494668,0.060484,0.019017,1.004210,0.043533,0.451767,20.137016,-0.078231,0.196695,-0.277162
2022-02-09 20:12:15.594846,-0.016664,0.007542,1.012755,-0.414230,0.268661,8.860771,-0.083819,0.200048,-0.271574
2022-02-09 20:12:15.695031,0.006285,-0.000270,1.012755,-0.170090,0.390732,-0.180061,-0.069290,0.198931,-0.268221
2022-02-09 20:12:15.795199,0.002379,-0.000758,1.019346,0.089310,0.032150,0.315849,-0.081584,0.197813,-0.276044
2022-02-09 20:12:15.895366,0.049498,-0.138209,0.998350,-1.451828,-1.119888,-37.022408,-0.068173,0.188872,-0.287220
2022-02-09 20:12:15.995543,-0.011049,-0.127467,1.028136,-1.261093,-1.226700,-86.323555,-0.073761,0.198931,-0.279397
2022-02-09 20:12:16.095707,0.004088,-0.010768,1.001280,-1.306870,-2.561844,-157.719429,-0.072643,0.211224,-0.282750
2022-02-09 20:12:16.195869,-0.056215,-0.024196,1.007628,-1.207687,-2.264297,-142.445381,-0.043586,0.213459,-0.276044
2022-02-09 20:12:16.296057,0.002379,-0.097438,1.009581,-9.813644,-1.508987,-121.594246,-0.023469,0.217929,-0.280514
2022-02-09 20:12:16.396238,-0.005678,0.005345,1.014952,-0.398972,-1.188553,-73.422249,-0.007823,0.211224,-0.262633
2022-02-09 20:12:16.496410,-0.027651,0.039281,1.038878,-0.711777,-1.287735,-75.192268,-0.005588,0.224635,-0.280514
2022-02-09 20:12:16.596576,0.000914,0.014378,1.011290,-0.734665,-1.028336,-93.670662,-0.002235,0.219047,-0.274926
2022-02-09 20:12:16.696743,-0.003481,-0.009059,1.002501,-0.498154,-1.837051,-98.530586,0.022352,0.223517,-0.270456
2022-02-09 20:12:16.797030,-0.027162,0.008519,1.036680,-0.917770,-1.386917,-92.022713,0.030175,0.217929,-0.269338
2022-02-09 20:12:16.897210,-0.017397,0.000951,1.022032,-0.688889,-1.318253,-97.744759,0.045821,0.204518,-0.269338
2022-02-09 20:12:16.997375,-0.010317,0.011205,1.030577,-1.047470,-1.272476,-94.136055,0.052527,0.186637,-0.264868
2022-02-09 20:12:17.097548,-0.015688,0.027074,1.035704,-0.376083,-0.974930,-83.767708,0.059232,0.182167,-0.264868
2022-02-09 20:12:17.197733,0.008970,0.061498,1.003477,1.317642,-0.784195,-92.495735,0.068173,0.159815,-0.269338
2022-02-09 20:12:17.297929,-0.004457,0.102513,1.019835,-3.160812,-0.829971,-96.539314,0.061467,0.144169,-0.276044
2022-02-09 20:12:17.398110,-0.096010,-0.100368,1.018370,0.188492,0.039780,0.300591,0.062585,0.147521,-0.263751
2022-02-09 20:12:17.498290,-0.016908,0.010228,1.016905,-1.390793,-0.700272,1.139824,0.056997,0.148639,-0.282750
2022-02-09 20:12:17.598457,-0.002016,0.044652,1.022520,-0.742294,0.085556,68.103020,0.061467,0.148639,-0.264868
2022-02-09 20:12:17.698624,-0.081850,-0.020290,1.008604,1.081131,1.962387,114.344780,0.055879,0.167638,-0.277162
2022-02-09 20:12:17.798790,-0.047914,-0.047633,1.020079,1.027725,1.229965,120.906059,0.060350,0.181049,-0.274926
2022-02-09 20:12:17.898969,-0.078432,-0.048610,1.021055,1.279495,2.534592,133.990471,0.046939,0.192225,-0.277162
2022-02-09 20:12:17.999208,-0.135561,-0.023708,1.013975,0.470779,0.756943,94.142143,0.020117,0.210106,-0.274926
2022-02-09 20:12:18.099385,-0.049867,-0.052028,1.005430,-0.162460,2.496445,108.660881,0.024587,0.214577,-0.270456
2022-02-09 20:12:18.199546,0.006529,-0.041774,0.995665,0.684402,0.604355,72.482292,0.005588,0.222400,-0.276044
2022-02-09 20:12:18.302584,-0.035707,-0.000514,1.006651,1.027725,1.771652,113.124077,-0.002235,0.221282,-0.272691
2022-02-09 20:12:18.402824,-0.136293,0.013646,1.012511,2.431534,0.329697,128.253166,-0.016764,0.217929,-0.271574
2022-02-09 20:12:18.503032,-0.007631,0.016332,0.994200,1.004837,1.313889,101.885979,-0.037998,0.216812,-0.277162
2022-02-09 20:12:18.603210,0.144224,0.006078,0.998106,2.019547,0.009262,71.307365,-0.046939,0.210106,-0.272691
2022-02-09 20:12:18.703398,0.065611,0.030003,1.022764,0.722549,0.428879,46.298210,-0.064820,0.205636,-0.270456
2022-02-09 20:12:18.803556,0.018980,0.003148,1.015684,1.149796,0.741684,63.967888,-0.058115,0.198931,-0.268221
2022-02-09 20:12:18.903842,-0.018373,0.003392,0.997618,-0.223495,1.413071,68.637077,-0.062585,0.196695,-0.263751
2022-02-09 20:12:19.004083,0.011412,-0.029323,1.015929,0.775955,0.726425,52.340691,-0.069290,0.189990,-0.270456
2022-02-09 20:12:19.104283,0.053648,0.064916,1.010557,-0.002243,0.306808,16.711418,-0.075996,0.181049,-0.274926
2022-02-09 20:12:19.204492,0.003599,0.006566,1.015196,-0.185349,0.047409,-0.363167,-0.075996,0.183284,-0.272691
2022-02-09 20:12:19.304672,0.015318,0.041722,1.009093,-0.505783,-0.364578,-15.850838,-0.069290,0.185519,-0.268221
2022-02-09 20:12:19.404834,0.006285,0.004613,1.011046,0.219009,-0.089920,-0.141914,-0.072643,0.184402,-0.278279
2022-02-09 20:12:19.505013,0.001402,0.004369,1.020567,-0.040390,-0.028885,0.300591,-0.067055,0.189990,-0.272691
2022-02-09 20:12:19.605174,0.004576,-0.000026,1.012022,0.043533,0.032150,0.125114,-0.074878,0.182167,-0.271574
2022-02-09 20:12:19.705344,-0.015688,-0.002711,1.004698,0.173233,0.108444,2.818291,-0.067055,0.183284,-0.265986
2022-02-09 20:12:19.805555,-0.016420,-0.023463,1.033751,-1.207687,-1.058853,-68.112190,-0.068173,0.195578,-0.271574
2022-02-09 20:12:19.905758,0.076842,0.010228,0.992491,1.294754,-1.432693,-116.352852,-0.060350,0.207871,-0.272691
2022-02-09 20:12:20.005911,-0.067934,0.023167,1.023985,-1.222946,-1.386917,-91.320808,-0.055879,0.201166,-0.274926
2022-02-09 20:12:20.106102,-0.026430,0.015599,1.026427,-1.222946,-0.700272,-97.370918,-0.036880,0.217929,-0.273809
2022-02-09 20:12:20.206425,0.031920,0.044164,1.000548,-1.413681,-1.165665,-81.188972,-0.030175,0.217929,-0.278279
2022-02-09 20:12:20.306707,-0.038393,-0.037135,0.997374,-2.130844,-1.623428,-94.723518,-0.020117,0.221282,-0.274926
2022-02-09 20:12:20.407029,0.019713,-0.021510,1.024718,-0.299789,-1.188553,-98.377998,-0.002235,0.225753,-0.272691
2022-02-09 20:12:20.507334,-0.043276,-0.025661,1.011534,-0.566818,-0.364578,-104.588326,0.004470,0.221282,-0.279397
2022-02-09 20:12:20.607498,-0.046694,-0.028834,1.011046,-0.513412,-1.661575,-87.117012,0.013411,0.214577,-0.274926
2022-02-09 20:12:20.707694,-0.010561,0.067357,1.015196,-1.253464,-1.264847,-77.030952,0.020117,0.207871,-0.274926
2022-02-09 20:12:20.807852,0.030943,0.082005,0.996397,-0.391342,-1.241959,-91.481026,0.031292,0.205636,-0.263751
2022-02-09 20:12:20.908019,-0.002504,0.037083,1.000304,-1.345016,-1.394547,-102.436836,0.044703,0.201166,-0.270456
2022-02-09 20:12:21.008234,0.008238,-0.013942,1.007384,-0.864365,-1.631058,-104.420479,0.050291,0.182167,-0.280514
2022-02-09 20:12:21.108436,0.038756,-0.003444,1.014952,1.073502,-0.791824,-93.319710,0.053644,0.163168,-0.279397
2022-02-09 20:12:21.208593,0.032652,0.042943,1.012511,0.188492,-0.608719,-76.779182,0.060350,0.154227,-0.279397
2022-02-09 20:12:21.308759,-0.016664,0.009740,1.001524,-0.078537,-0.433243,-64.747627,0.056997,0.146404,-0.267103
2022-02-09 20:12:21.408920,-0.012514,-0.011745,1.027159,0.074051,-1.089371,-73.010262,0.059232,0.128523,-0.273809
2022-02-09 20:12:21.509088,-0.044252,0.034642,1.031065,-0.421860,-0.929153,-71.705635,0.051409,0.127405,-0.272691
2022-02-09 20:12:21.609298,-0.026918,-0.060817,1.009093,-1.062729,-0.402725,-11.074837,0.054762,0.106171,-0.267103
2022-02-09 20:12:21.709466,-0.003969,0.048070,1.007872,0.142715,1.359665,48.922722,0.049174,0.107288,-0.270456
2022-02-09 20:12:21.809623,-0.020815,0.003636,1.011290,-0.116684,0.001633,0.033562,0.049174,0.111759,-0.268221
2022-02-09 20:12:21.909787,-0.018129,0.009007,1.013731,0.180862,0.192368,0.056450,0.054762,0.117347,-0.273809
2022-02-09 20:12:22.009949,-0.017397,0.007542,1.012999,-0.177719,-0.181473,0.170891,0.049174,0.102818,-0.270456
2022-02-09 20:12:22.110146,-0.017641,0.003636,1.015196,-0.330307,0.039780,-0.050362,0.052527,0.119582,-0.260398
2022-02-09 20:12:22.210359,-0.017885,0.011937,1.003721,0.096939,0.108444,0.025932,0.056997,0.117347,-0.278279
2022-02-09 20:12:22.310539,-0.017885,0.002171,1.024718,0.318192,-0.120438,0.018303,0.051409,0.111759,-0.272691
2022-02-09 20:12:22.410722,-0.016664,0.005345,1.016661,0.081680,-0.417984,0.582878,0.056997,0.108406,-0.269338
2022-02-09 20:12:22.510887,-0.037905,-0.050075,1.010557,-0.322678,0.863754,34.754936,0.054762,0.121817,-0.271574
2022-02-09 20:12:22.611046,-0.025453,-0.021999,1.011778,0.165604,0.734055,40.347282,0.059232,0.119582,-0.280514
2022-02-09 20:12:22.711210,-0.012026,0.025365,1.020567,0.112198,0.253403,49.716179,0.051409,0.125170,-0.263751
2022-02-09 20:12:22.811425,-0.011537,0.030980,1.008360,-2.077438,0.901901,64.921562,0.060350,0.129640,-0.270456
2022-02-09 20:12:22.911596,-0.017153,-0.005153,1.019591,0.348709,3.495895,86.749260,0.065938,0.139698,-0.264868
2022-02-09 20:12:23.011754,-0.009096,0.051976,1.003721,0.959061,0.489914,76.419060,0.053644,0.160933,-0.279397
2022-02-09 20:12:23.111949,0.002867,0.042210,1.034727,0.409744,1.199448,65.005486,0.056997,0.164285,-0.269338
2022-02-09 20:12:23.212112,-0.001039,0.023900,0.999327,0.623367,1.291000,71.147148,0.046939,0.172108,-0.263751
2022-02-09 20:12:23.312298,-0.000551,0.018041,1.010069,0.348709,1.008713,74.046318,0.037998,0.183284,-0.263751
2022-02-09 20:12:23.412581,-0.018617,0.015111,1.034971,0.432632,1.771652,115.924065,0.040233,0.198931,-0.279397
2022-02-09 20:12:23.512774,-0.002016,0.016332,1.013975,0.653885,1.741135,114.512627,0.014529,0.215694,-0.267103
