date,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2022-02-09 20:15:40.477586,-0.000454,0.000386,0.996353,0.058388,0.157356,-0.355721,-0.067055,0.196695,-0.279397
2022-02-09 20:15:40.577752,0.001988,0.000630,1.009537,0.004982,-0.094414,0.063896,-0.067055,0.205636,-0.277162
2022-02-09 20:15:40.677985,0.000523,-0.002788,1.011246,0.195717,-0.063896,0.208855,-0.059232,0.204518,-0.276044
2022-02-09 20:15:40.778159,-0.004360,0.001118,0.993424,-0.086571,0.157356,0.247002,-0.062585,0.192225,-0.272691
2022-02-09 20:15:40.878278,0.000034,-0.000102,1.009049,0.073647,0.012398,-0.134468,-0.064820,0.198931,-0.274926
2022-02-09 20:15:40.978411,-0.000210,0.002095,1.009537,-0.017906,1.622200,-0.042915,-0.064820,0.205636,-0.272691
2022-02-09 20:15:41.078556,0.000523,0.001118,1.014420,0.287270,-0.033379,-0.103951,-0.064820,0.198931,-0.265986
2022-02-09 20:15:41.178764,0.000034,0.000630,1.011490,0.066017,-0.002861,0.109673,-0.060350,0.201166,-0.261515
2022-02-09 20:15:41.278902,-0.000698,0.002095,1.011490,0.088905,-0.094414,0.147820,-0.065938,0.202283,-0.278279
2022-02-09 20:15:41.379141,0.001743,0.001363,1.012711,-0.269676,0.226021,-0.081062,-0.070408,0.204518,-0.271574
2022-02-09 20:15:41.479321,-0.001430,0.001607,1.017105,-0.071312,-0.155449,0.231743,-0.064820,0.210106,-0.274926
2022-02-09 20:15:41.579508,0.002232,-0.001323,1.010758,1.614784,0.065804,0.231743,-0.071526,0.198931,-0.274926
2022-02-09 20:15:41.679690,-0.002651,0.001851,1.012222,-0.025536,0.081062,-0.027657,-0.061467,0.200048,-0.271574
2022-02-09 20:15:41.779962,-0.005093,0.001118,1.013931,-0.185753,-0.247002,-0.027657,-0.065938,0.197813,-0.273809
2022-02-09 20:15:41.880151,0.002720,0.002583,1.016373,-0.033165,-0.010490,0.147820,-0.060350,0.207871,-0.274926
2022-02-09 20:15:41.980323,0.000523,0.000874,1.013687,0.020241,0.027657,0.109673,-0.062585,0.205636,-0.270456
