date,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2022-02-09 20:17:05.248522,0.001816,-0.000991,0.996845,-0.077423,0.089439,-0.038712,-0.064820,0.205636,-0.279397
2022-02-09 20:17:05.348699,-0.000137,0.000962,1.007588,-0.100311,-0.139442,-0.038712,-0.061467,0.206754,-0.280514
2022-02-09 20:17:05.448875,-0.001114,-0.001235,1.015156,0.029388,0.142845,0.144394,-0.065938,0.206754,-0.276044
2022-02-09 20:17:05.549002,0.002549,0.000962,1.018574,0.082794,-0.063148,-0.015823,-0.068173,0.211224,-0.276044
2022-02-09 20:17:05.649114,0.000595,-0.003188,1.005879,-0.016388,0.104698,-0.130264,-0.068173,0.208989,-0.273809
2022-02-09 20:17:05.749253,0.001084,-0.001967,1.011006,-0.054535,0.066551,0.235947,-0.060350,0.205636,-0.274926
2022-02-09 20:17:05.849357,0.004502,-0.001479,1.011006,-0.153717,0.127586,-0.374405,-0.065938,0.213459,-0.278279
2022-02-09 20:17:05.949505,0.001572,-0.000014,1.005879,0.113312,-0.025002,-0.160782,-0.059232,0.213459,-0.278279
2022-02-09 20:17:06.049635,-0.000625,-0.002944,1.017109,-0.062164,-0.040260,-0.069229,-0.063702,0.213459,-0.276044
2022-02-09 20:17:06.149775,0.003037,-0.000747,1.007832,0.105682,-0.032631,-0.122635,-0.063702,0.204518,-0.267103
2022-02-09 20:17:06.249948,-0.001358,0.003892,1.007588,-0.107941,0.211510,0.228317,-0.060350,0.196695,-0.272691
2022-02-09 20:17:06.350097,0.000595,0.000962,1.012470,0.113312,-0.002113,-0.092117,-0.058115,0.207871,-0.270456
2022-02-09 20:17:06.450250,-0.005752,-0.001479,1.005635,-0.016388,0.081810,-0.343887,-0.058115,0.205636,-0.270456
2022-02-09 20:17:06.550407,0.002060,0.001451,1.011982,0.067535,0.127586,-0.000565,-0.067055,0.207871,-0.274926
2022-02-09 20:17:06.650558,0.003037,-0.003676,0.997334,0.159088,0.264915,0.113876,-0.062585,0.201166,-0.268221
2022-02-09 20:17:06.750728,-0.012100,-0.000258,0.994160,0.075165,0.150475,0.152023,-0.060350,0.205636,-0.274926
2022-02-09 20:17:06.850909,0.002304,-0.000258,1.013447,-0.252899,0.036034,0.113876,-0.067055,0.207871,-0.270456
2022-02-09 20:17:06.951183,0.000351,0.003160,1.015888,-0.184235,-0.047890,0.113876,-0.060350,0.201166,-0.263751
2022-02-09 20:17:07.051361,-0.003067,0.006578,0.997822,0.342194,-0.101295,-0.160782,-0.060350,0.203401,-0.272691
2022-02-09 20:17:07.151540,-0.002334,0.001695,1.012715,-0.054535,-0.093666,0.152023,-0.061467,0.208989,-0.273809
2022-02-09 20:17:07.251712,-0.001114,-0.001723,1.011738,1.585785,-0.177589,0.022324,-0.068173,0.215694,-0.273809
