acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
 0.183, 0.103, 0.936, 0.081, 0.029, 0.132
 0.182, 0.102, 0.943, 0.069, 0.039, 0.129
 0.183, 0.098, 0.949, 0.041, 0.062, 0.111
 0.187, 0.092, 0.962, 0.010, 0.078, 0.073
 0.185, 0.082, 0.970,-0.022, 0.082, 0.044
 0.182, 0.076, 0.973,-0.051, 0.085, 0.024
 0.180, 0.082, 0.987,-0.062, 0.083, 0.005
 0.180, 0.082, 0.987,-0.043, 0.083,-0.024
 0.170, 0.064, 0.994,-0.014, 0.072,-0.052
 0.170, 0.064, 0.994, 0.023, 0.059,-0.068
 0.163, 0.070, 0.999, 0.051, 0.056,-0.061
 0.162, 0.096, 0.997, 0.052, 0.051,-0.048
 0.162, 0.096, 0.997, 0.033, 0.052,-0.033
 0.166, 0.102, 1.005,-0.007, 0.038,-0.029
 0.161, 0.121, 1.008,-0.034, 0.019,-0.025
 0.161, 0.121, 1.008,-0.052, 0.019,-0.025
 0.156, 0.126, 0.999,-0.063, 0.011,-0.026
 0.156, 0.132, 0.997,-0.073, 0.004,-0.030
 0.158, 0.136, 1.007,-0.088,-0.004,-0.040
 0.158, 0.136, 1.007,-0.095,-0.030,-0.038
 0.163, 0.139, 1.010,-0.098,-0.038,-0.027
 0.167, 0.146, 1.008,-0.083,-0.041,-0.012
 0.169, 0.152, 0.998,-0.056,-0.040, 0.005
 0.166, 0.151, 0.988,-0.021,-0.045, 0.021
 0.168, 0.147, 0.983, 0.012,-0.036, 0.018
 0.169, 0.137, 0.980, 0.025,-0.031, 0.028
 0.168, 0.131, 0.981, 0.026,-0.026, 0.024
 0.168, 0.131, 0.981, 0.024,-0.038, 0.019
 0.186, 0.114, 0.995, 0.025,-0.097,-0.002
 0.186, 0.114, 0.995, 0.081,-0.276,-0.056
 0.195, 0.116, 1.049, 0.186,-0.396,-0.090
 0.181, 0.123, 1.004, 0.190,-0.403,-0.065
 0.181, 0.123, 1.004, 0.142,-0.371,-0.019
 0.192, 0.132, 0.999, 0.109,-0.347,-0.011
 0.203, 0.142, 1.002, 0.087,-0.319,-0.017
 0.208, 0.111, 1.009, 0.103,-0.304,-0.054
 0.208, 0.111, 1.009, 0.130,-0.332,-0.082
 0.207, 0.101, 1.018, 0.144,-0.318,-0.063
 0.191, 0.115, 0.988, 0.146,-0.286,-0.064
 0.191, 0.115, 0.988, 0.130,-0.284,-0.058
 0.194, 0.113, 0.990, 0.112,-0.296,-0.046
 0.211, 0.117, 0.997, 0.113,-0.315,-0.051
 0.232, 0.122, 1.005, 0.146,-0.316,-0.111
 0.245, 0.106, 1.009, 0.152,-0.374,-0.183
 0.260, 0.092, 1.045, 0.142,-0.443,-0.236
 0.277, 0.104, 1.083, 0.107,-0.761,-0.291
 0.277, 0.104, 1.083, 0.043,-1.055,-0.316
 0.320, 0.096, 1.190,-0.008,-1.221,-0.339
 0.282, 0.107, 1.046,-0.077,-1.152,-0.335
 0.282, 0.107, 1.046,-0.134,-0.948,-0.292
 0.235, 0.153, 0.892,-0.128,-0.932,-0.293
 0.224, 0.158, 0.878,-0.142,-0.989,-0.272
 0.257, 0.160, 0.908,-0.170,-1.133,-0.222
 0.266, 0.168, 0.900,-0.306,-1.918,-0.111
 0.295, 0.135, 0.944,-0.444,-2.442, 0.054
 0.365, 0.050, 0.986,-0.360,-2.058, 0.167
 0.331, 0.165, 0.818,-0.252,-1.494, 0.175
 0.316, 0.173, 0.785,-0.269,-1.414, 0.211
 0.331, 0.101, 0.861,-0.471,-1.924, 0.298
 0.293, 0.139, 0.993,-0.512,-2.087, 0.239
 0.322, 0.149, 0.966,-0.072,-1.107, 0.201
 0.399, 0.146, 0.820, 0.145,-0.381, 0.176
 0.399, 0.146, 0.820, 0.069,-0.531, 0.192
 0.396, 0.154, 0.962, 0.044,-0.699, 0.244
 0.396, 0.154, 0.962, 0.106,-0.630, 0.243
 0.390, 0.182, 0.909, 0.147,-0.674, 0.235
 0.388, 0.168, 0.886, 0.185,-0.818, 0.244
 0.396, 0.155, 0.928, 0.217,-0.984, 0.253
 0.415, 0.151, 0.944, 0.233,-1.101, 0.252
 0.438, 0.145, 0.948, 0.255,-1.201, 0.262
 0.460, 0.136, 0.944, 0.300,-1.366, 0.265
 0.477, 0.126, 0.958, 0.373,-1.545, 0.263
 0.514, 0.118, 0.963, 0.428,-1.644, 0.283
 0.527, 0.123, 0.895, 0.441,-1.648, 0.294
 0.546, 0.119, 0.841, 0.423,-1.625, 0.297
 0.558, 0.125, 0.809, 0.365,-1.616, 0.308
 0.555, 0.136, 0.786, 0.296,-1.594, 0.320
 0.553, 0.150, 0.778, 0.236,-1.604, 0.326
 0.553, 0.150, 0.778, 0.184,-1.653, 0.324
 0.560, 0.171, 0.788, 0.117,-1.704, 0.317
 0.595, 0.189, 0.790, 0.046,-1.698, 0.277
 0.595, 0.189, 0.790,-0.018,-1.589, 0.214
 0.625, 0.181, 0.755,-0.069,-1.408, 0.147
 0.644, 0.174, 0.712,-0.086,-1.215, 0.093
 0.657, 0.164, 0.686,-0.054,-1.068, 0.051
 0.664, 0.154, 0.695,-0.002,-0.958, 0.039
 0.662, 0.143, 0.704, 0.060,-0.890, 0.046
 0.662, 0.141, 0.706, 0.121,-0.858, 0.072
 0.666, 0.131, 0.712, 0.176,-0.880, 0.109
 0.665, 0.126, 0.710, 0.227,-0.998, 0.144
 0.672, 0.123, 0.741, 0.257,-1.147, 0.178
 0.672, 0.123, 0.741, 0.251,-1.305, 0.213
 0.690, 0.123, 0.724, 0.247,-1.438, 0.221
 0.717, 0.111, 0.706, 0.213,-1.503, 0.239
 0.764, 0.100, 0.629, 0.134,-1.518, 0.259
 0.764, 0.100, 0.629, 0.019,-1.542, 0.267
 0.780, 0.116, 0.561,-0.087,-1.590, 0.250
 0.780, 0.116, 0.561,-0.136,-1.625, 0.219
 0.775, 0.133, 0.583,-0.206,-1.733, 0.219
 0.766, 0.148, 0.596,-0.269,-1.864, 0.231
 0.766, 0.148, 0.596,-0.318,-1.963, 0.259
 0.772, 0.145, 0.599,-0.386,-2.041, 0.292
 0.803, 0.126, 0.560,-0.460,-2.127, 0.311
 0.838, 0.117, 0.548,-0.525,-2.163, 0.319
 0.872, 0.101, 0.529,-0.545,-2.138, 0.310
 0.872, 0.101, 0.529,-0.555,-2.033, 0.292
 0.885, 0.088, 0.506,-0.591,-1.904, 0.269
 0.887, 0.088, 0.458,-0.642,-1.795, 0.249
 0.893, 0.092, 0.419,-0.695,-1.754, 0.233
 0.894, 0.097, 0.403,-0.717,-1.730, 0.216
